ID,first_name,last_name,email,department_ID,bonus_percentage
a860109f-49d7-44d6-bb19-15e04bc15562,Harper,Hernandez,harperhernandez@gmail.com,124eb0f1-6af0-45e6-b90a-fb6d0296ff0b,3.4
7502d614-0de8-4f19-b4f9-0e6f192f3d5a,Mason,Lopez,masonlopez@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,2.1
27f42c3f-7358-4b6e-8cb3-f0517786eb65,Ellie,Hall,elliehall@gmail.com,124eb0f1-6af0-45e6-b90a-fb6d0296ff0b,4
9f882b9f-7e64-4b22-96a9-b5a1866a9be7,Jack,Young,jackyoung@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,3.3
38b25bc4-c536-422d-991b-1c0839cf9abf,Landon,King,landonking@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,4.5
69fb4745-100f-45a5-b4a3-f074f8395f2b,Scarlett,Wood,scarlettwood@gmail.com,124eb0f1-6af0-45e6-b90a-fb6d0296ff0b,3.8
a3a9b37a-f42c-44ed-bd57-2423a826ee2e,Benjamin,Wright,benjaminwright@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,2.4
29c6b5f1-b409-4dc3-884b-127c54d6a1c3,Grace,Lopez,gracelopez@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,3.7
dc8f4a42-bf2d-4fc4-b7de-46c750e8c3ff,Leo,Hill,leohill@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,4
10da4299-6b0f-4861-8046-900d0cd63454,Riley,Scott,rileyscott@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,2.7
c902c0f7-7a06-4460-813f-f7bc4d121fbf,Audrey,Green,audreygreen@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,3.5
41b5b116-d66b-4f3e-bd30-d6a8b03ab31a,Logan,Baker,loganbaker@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,2.3
ea60790e-5b70-46d8-b98b-ea26b0bb196e,Henry,Adams,henryadams@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,4.2
dc2df04d-af89-4532-a2de-64e19ee35881,Skylar,Nelson,skylarnelson@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,2.8
0d15059d-21da-414f-a5eb-2f14dd06b73f,Hailey,Walker,haileywalker@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,3.1
f38360a6-b3ef-47a8-843a-3d76a3510671,Carter,Wright,carterwright@gmail.com,124eb0f1-6af0-45e6-b90a-fb6d0296ff0b,3.9
93944f71-0c9c-4a1f-93fd-5c7b4c5d1e3e,Eleanor,Brown,eleanorbrown@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,2.6
207c270f-1aa6-4855-a350-52602a784cc2,Bryce,Young,bryceyoung@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,4.1
ebe10db0-e79b-4e28-a605-17cf2098b31e,Caroline,Wood,carolinewood@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,2.9
4d41ff8f-d994-42fb-890b-0d46d43d4e89,Connor,Clark,connorclark@gmail.com,124eb0f1-6af0-45e6-b90a-fb6d0296ff0b,3.7
1b1c21c8-1cc9-4993-9c59-8d1c1b9dd9b5,Madelyn,Lopez,madelynelopez@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,3.3
f5d8f42f-4656-4dcf-a9db-f25060710a0d,Nathan,Carter,nathancarter@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,4.6
e395c91a-56e3-49f4-b0c1-676ec52acfc7,Maya,Perez,mayaperez@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,2.4
b2279b4d-33b2-4e2a-9c3b-8c38210728d1,Jacob,Hernandez,jacobhernandez@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,3.5
0b89ac59-650f-40e0-b88d-9e4a22a32f01,Peyton,Lewis,peytonlewis@gmail.com,dcd78efb-0b9a-4a67-8960-99cc1a49d214,2.7
